GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
domain,br.com.ntconsult.hotelaria.model.valueobjects,Email,34,0,4,0,11,0,5,0,3,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Localizacao,9,0,0,0,4,0,2,0,2,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,ReservaEvento.ReservaEventoBuilder,72,0,0,0,1,0,10,0,10,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Desconto,32,0,6,0,9,0,5,0,2,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Nome,34,0,4,0,11,0,5,0,3,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,StatusReserva,15,0,0,0,3,0,1,0,1,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Diaria,16,0,2,0,6,0,3,0,2,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Avaliacao,20,0,4,0,6,0,4,0,2,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,HotelEQuartoConsultaAvancada.HotelEQuartoConsultaAvancadaBuilder,45,0,0,0,1,0,7,0,7,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Hospedes,16,0,2,0,6,0,3,0,2,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,ReservaEvento,52,0,0,0,10,0,10,0,10,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,DetalhesPagamento,21,0,0,0,4,0,1,0,1,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Preco,27,0,4,0,8,0,4,0,2,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,HotelFiltro,45,0,0,0,8,0,13,0,13,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,HotelEQuartoConsultaAvancada,34,0,0,0,7,0,7,0,7,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,TipoQuarto,23,0,2,0,8,0,4,0,3,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Codigo,80,0,6,0,20,0,6,0,3,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,Contato,33,0,4,0,12,0,5,0,3,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,TotalReserva,40,0,6,0,8,0,5,0,2,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,CPF,181,0,10,0,19,0,9,0,4,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,StatusQuarto,21,0,0,0,4,0,1,0,1,0
domain,br.com.ntconsult.hotelaria.model.valueobjects,CombinacoesFiltro,38,0,0,0,7,0,11,0,11,0
domain,br.com.ntconsult.hotelaria.model,Cliente.ClienteBuilder,36,0,0,0,1,0,6,0,6,0
domain,br.com.ntconsult.hotelaria.model,Cliente,25,0,0,0,5,0,5,0,5,0
domain,br.com.ntconsult.hotelaria.model,Hotel.HotelBuilder,63,0,0,0,1,0,9,0,9,0
domain,br.com.ntconsult.hotelaria.model,Hotel,43,0,0,0,8,0,8,0,8,0
domain,br.com.ntconsult.hotelaria.model,Reserva,116,0,0,0,22,0,17,0,17,0
domain,br.com.ntconsult.hotelaria.model,Quarto.QuartoBuilder,63,0,0,0,1,0,9,0,9,0
domain,br.com.ntconsult.hotelaria.model,Quarto,43,0,0,0,8,0,8,0,8,0
domain,br.com.ntconsult.hotelaria.model,Reserva.ReservaBuilder,135,0,0,0,1,0,17,0,17,0
domain,br.com.ntconsult.hotelaria.exception,RegraNegocioException,4,0,0,0,2,0,1,0,1,0
